PeakID (cmd=annotatePeaks.pl NEUROD1_72hpi_peak0107_HIOE.filtered.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-1456	chr2	191582519	191582816	+	0	NA	Intergenic	Intergenic	58783	NM_001321315	4664	Hs.107474	NM_005966	ENSG00000138386	NAB1	-	NGFI-A binding protein 1	protein-coding
1-3204	chr9	92301073	92301370	+	0	NA	intron (NR_024280, intron 3 of 5)	intron (NR_024280, intron 3 of 5)	46523	NR_024280	100129066	Hs.125947	NR_024280	ENSG00000237372	UNQ6494	-	uncharacterized LOC100129066	ncRNA
1-1351	chr9	139131602	139131899	+	0	NA	intron (NM_181701, intron 1 of 11)	intron (NM_181701, intron 1 of 11)	5937	NM_181701	169714	Hs.144073	NM_181701	ENSG00000165661	QSOX2	QSCN6L1|SOXN	quiescin sulfhydryl oxidase 2	protein-coding
1-4135	chr8	81348115	81348412	+	0	NA	Intergenic	L2c|LINE|L2	-49565	NM_001277145	65986	Hs.591868	NM_023929	ENSG00000205189	ZBTB10	RINZF	zinc finger and BTB domain containing 10	protein-coding
1-2996	chr22	39603088	39603385	+	0	NA	Intergenic	Intergenic	33678	NM_033016	5155	Hs.1976	NM_002608	ENSG00000100311	PDGFB	IBGC5|PDGF-2|PDGF2|SIS|SSV|c-sis	platelet derived growth factor subunit B	protein-coding
1-2981	chr20	57591233	57591530	+	0	NA	Intergenic	L2c|LINE|L2	-2928	NM_030773	81027	Hs.303023	NM_030773	ENSG00000101162	TUBB1	-	tubulin beta 1 class VI	protein-coding
1-2431	chr5	130522287	130522584	+	0	NA	intron (NM_001293735, intron 3 of 3)	MER44B|DNA|TcMar-Tigger	15798	NM_181705	90624	Hs.115467	NM_181705	ENSG00000186687	LYRM7	C5orf31|MC3DN8|MZM1L	LYR motif containing 7	protein-coding
1-179	chr4	166319816	166320113	+	0	NA	intron (NM_001873, intron 1 of 8)	intron (NM_001873, intron 1 of 8)	12570	NR_030304	693163		NR_030304	ENSG00000207559	MIR578	MIRN578|hsa-mir-578	microRNA 578	ncRNA
1-4507	chr8	66977211	66977508	+	0	NA	intron (NR_146171, intron 4 of 6)	intron (NR_146171, intron 4 of 6)	43571	NM_033105	85479	Hs.491885	NM_033105	ENSG00000147570	DNAJC5B	CSP-beta	DnaJ heat shock protein family (Hsp40) member C5 beta	protein-coding
1-2060	chrX	18339297	18339594	+	0	NA	intron (NR_033717, intron 5 of 15)	intron (NR_033717, intron 5 of 15)	33363	NR_033717	10389	Hs.495774	NM_006089	ENSG00000102098	SCML2	-	Scm polycomb group protein like 2	protein-coding
1-2239	chr15	38093877	38094174	+	0	NA	Intergenic	Intergenic	-132783	NM_001330255	145942	Hs.179646	NM_152453	ENSG00000166069	TMCO5A	TMCO5	transmembrane and coiled-coil domains 5A	protein-coding
1-1801	chr20	56468494	56468791	+	0	NA	Intergenic	Intergenic	-110318	NR_147083	105376992	Hs.736662	NR_147083	ENSG00000275852	LINC01742	-	long intergenic non-protein coding RNA 1742	ncRNA
1-1079	chr7	1651530	1651827	+	0	NA	Intergenic	Intergenic	-2428	NR_001288	260341	Hs.534596	NR_001288		TFAMP1	MTTF1|TCF6L1	transcription factor A, mitochondrial pseudogene 1	pseudo
1-4519	chr11	7656395	7656692	+	0	NA	intron (NM_001351853, intron 13 of 25)	intron (NM_001351853, intron 13 of 25)	29578	NM_001256569	8495	Hs.655714	NM_003621	ENSG00000166387	PPFIBP2	Cclp1	PPFIA binding protein 2	protein-coding
1-379	chr19	55850070	55850367	+	0	NA	Intergenic	Tigger3c|DNA|TcMar-Tigger	-1026	NM_032701	84787	Hs.590982	NM_032701	ENSG00000133247	KMT5C	SUV420H2|Suv4-20h2	lysine methyltransferase 5C	protein-coding
1-2637	chr22	36924976	36925273	+	0	NA	promoter-TSS (NM_003753)	promoter-TSS (NM_003753)	89	NR_156418	8664	Hs.55682	NM_003753	ENSG00000100353	EIF3D	EIF3S7|eIF3-p66|eIF3-zeta	eukaryotic translation initiation factor 3 subunit D	protein-coding
1-4563	chr17	34891137	34891434	+	0	NA	promoter-TSS (NM_025109)	promoter-TSS (NM_025109)	20	NM_001033580	80179	Hs.302051	NM_025109	ENSG00000278259	MYO19	MYOHD1	myosin XIX	protein-coding
1-218	chr3	42067161	42067458	+	0	NA	Intergenic	Intergenic	-61383	NR_146089	22906	Hs.535711	NM_014965	ENSG00000182606	TRAK1	EIEE68|MILT1|OIP106	trafficking kinesin protein 1	protein-coding
1-1140	chr20	10091958	10092255	+	0	NA	intron (NR_040710, intron 2 of 4)	intron (NR_040710, intron 2 of 4)	76471	NM_001303472	63926	Hs.70903	NM_022096	ENSG00000132623	ANKEF1	ANKRD5	ankyrin repeat and EF-hand domain containing 1	protein-coding
1-2410	chr4	26240274	26240571	+	0	NA	Intergenic	Intergenic	-80910	NM_005349	3516	Hs.479396	NM_005349	ENSG00000168214	RBPJ	AOS3|CBF1|IGKJRB|IGKJRB1|KBF2|RBP-J|RBPJK|RBPSUH|SUH|csl	recombination signal binding protein for immunoglobulin kappa J region	protein-coding
1-3401	chr22	50578157	50578454	+	0	NA	intron (NM_001164104, intron 15 of 25)	L1ME1|LINE|L1	-7179	NM_001164106	54456	Hs.62880	NM_018995	ENSG00000073146	MOV10L1	CHAMP|DJ402G11.8	Mov10 like RISC complex RNA helicase 1	protein-coding
1-2277	chr17	55621717	55622014	+	0	NA	intron (NM_001322250, intron 7 of 13)	intron (NM_001322250, intron 7 of 13)	-20907	NR_110808	101927557	Hs.639984	NR_110808	ENSG00000266100	LOC101927557	-	uncharacterized LOC101927557	ncRNA
1-226	chr11	66328860	66329157	+	0	NA	non-coding (NR_047663, exon 17 of 21)	non-coding (NR_047663, exon 17 of 21)	7069	NM_003793	8722	Hs.11590	NM_003793	ENSG00000174080	CTSF	CATSF|CLN13	cathepsin F	protein-coding
1-868	chr1	120371757	120372054	+	0	NA	Intergenic	Intergenic	15598	NM_001047980	343505		NM_001047980		NBPF7	-	NBPF member 7	protein-coding
1-1004	chr11	44833353	44833650	+	0	NA	intron (NM_130783, intron 2 of 9)	intron (NM_130783, intron 2 of 9)	84989	NM_130783	90139	Hs.385634	NM_130783	ENSG00000157570	TSPAN18	TSPAN	tetraspanin 18	protein-coding
1-122	chr3	52002271	52002568	+	0	NA	promoter-TSS (NM_020418)	promoter-TSS (NM_020418)	-937	NM_001363885	57060	Hs.20930	NM_020418	ENSG00000090097	PCBP4	CBP|LIP4|MCG10	poly(rC) binding protein 4	protein-coding
1-3444	chr1	183412087	183412384	+	0	NA	Intergenic	Intergenic	-24720	NM_015039	23057	Hs.497123	NM_015039	ENSG00000157064	NMNAT2	C1orf15|PNAT2	nicotinamide nucleotide adenylyltransferase 2	protein-coding
1-58	chr10	89378622	89378919	+	0	NA	Intergenic	L2c|LINE|L2	-40865	NM_001015880	9060	Hs.524491	NM_004670	ENSG00000198682	PAPSS2	ATPSK2|BCYM4|SK2	3'-phosphoadenosine 5'-phosphosulfate synthase 2	protein-coding
1-616	chr6	118699381	118699678	+	0	NA	Intergenic	Intergenic	-123007	NR_002730	23629	Hs.648050	NR_002730		BRD7P3	BP75	bromodomain containing 7 pseudogene 3	pseudo
1-1324	chr6	170566457	170566754	+	0	NA	intron (NR_002787, intron 2 of 2)	intron (NR_002787, intron 2 of 2)	5052	NR_002787	154449	Hs.447751	NR_002787	ENSG00000230960	LOC154449	-	uncharacterized LOC154449	ncRNA
1-3106	chr4	15418057	15418354	+	0	NA	intron (NM_001135171, intron 1 of 2)	intron (NM_001135171, intron 1 of 2)	11333	NR_125911	101929095	Hs.656908	NR_125911	ENSG00000249252	LOC101929095	-	uncharacterized LOC101929095	ncRNA
1-1743	chr14	64580096	64580393	+	0	NA	exon (NM_182914, exon 66 of 116)	exon (NM_182914, exon 66 of 116)	-18401	NR_031677	100313830		NR_031677	ENSG00000221537	MIR548H1	MIR548H-1|MIRN548H1	microRNA 548h-1	ncRNA
1-4117	chr8	8313624	8313921	+	0	NA	Intergenic	Intergenic	-69823	NM_001080826	157285	Hs.583863	NM_001080826	ENSG00000275342	PRAG1	NACK|PEAK2|PRAGMIN|SGK223	PEAK1 related, kinase-activating pseudokinase 1	protein-coding
1-3645	chr10	6509458	6509755	+	0	NA	intron (NM_001323265, intron 12 of 17)	intron (NM_001323265, intron 12 of 17)	112632	NM_001323266	5588	Hs.498570	NM_006257	ENSG00000065675	PRKCQ	PRKCT|nPKC-theta	protein kinase C theta	protein-coding
1-3541	chr4	189361112	189361409	+	0	NA	Intergenic	Intergenic	-15472	NR_033869	401164	Hs.435756	NR_033869	ENSG00000249378	LINC01060	-	long intergenic non-protein coding RNA 1060	ncRNA
1-2013	chr16	47909610	47909907	+	0	NA	intron (NR_110650, intron 2 of 5)	MIR|SINE|MIR	11283	NR_110649	100507534	Hs.407601	NR_110649	ENSG00000261325	LINC02192	-	long intergenic non-protein coding RNA 2192	ncRNA
1-2102	chr2	198663843	198664140	+	0	NA	Intergenic	Intergenic	-5326	NM_006226	5334	Hs.153322	NM_006226	ENSG00000115896	PLCL1	PLCE|PLCL|PLDL1|PPP1R127|PRIP	phospholipase C like 1 (inactive)	protein-coding
1-3633	chr9	84391401	84391698	+	0	NA	non-coding (NR_109772, exon 4 of 4)	non-coding (NR_109772, exon 4 of 4)	86921	NR_109772	101927502	Hs.528628	NR_109772	ENSG00000233926	LOC101927502	-	uncharacterized LOC101927502	ncRNA
1-1239	chr17	79138895	79139192	+	0	NA	promoter-TSS (NM_001354639)	promoter-TSS (NM_001354639)	-264	NM_001354639	388428	Hs.591202	NM_207389	ENSG00000225180	PVALEF	AATK-AS1	parvalbumin like EF-hand containing	protein-coding
1-1892	chr5	38479351	38479648	+	0	NA	3' UTR (NM_001364298, exon 20 of 20)	3' UTR (NM_001364298, exon 20 of 20)	33851	NM_182801	133584	Hs.20103	NM_152403	ENSG00000164318	EGFLAM	AGRINL|AGRNL|PIKA	EGF like, fibronectin type III and laminin G domains	protein-coding
1-2910	chr15	66335593	66335890	+	0	NA	intron (NM_032445, intron 5 of 22)	intron (NM_032445, intron 5 of 22)	3170	NR_036196	100422905		NR_036196	ENSG00000263512	MIR4311	-	microRNA 4311	ncRNA
1-1233	chr17	2807483	2807780	+	0	NA	intron (NM_001100398, intron 2 of 23)	intron (NM_001100398, intron 2 of 23)	61558	NR_110818	101927911	Hs.626373	NR_110818	ENSG00000262884	LOC101927911	-	uncharacterized LOC101927911	ncRNA
1-340	chr12	13762866	13763163	+	0	NA	intron (NM_000834, intron 8 of 12)	intron (NM_000834, intron 8 of 12)	-233335	NR_036555	283422	Hs.448717	NM_182558	ENSG00000180861	LINC01559	C12orf36	long intergenic non-protein coding RNA 1559	ncRNA
1-1998	chr14	51676250	51676547	+	0	NA	Intergenic	Intergenic	-30567	NM_030755	81542	Hs.125221	NM_030755	ENSG00000139921	TMX1	PDIA11|TMX|TXNDC|TXNDC1	thioredoxin related transmembrane protein 1	protein-coding
1-3621	chr8	118062116	118062413	+	0	NA	intron (NM_001172815, intron 2 of 10)	intron (NM_001172815, intron 2 of 10)	-84970	NM_173851	169026	Hs.532270	NM_173851	ENSG00000164756	SLC30A8	ZNT8|ZnT-8	solute carrier family 30 member 8	protein-coding
1-496	chr11	61151942	61152239	+	0	NA	Intergenic	LTR41B|LTR|ERVL	-7742	NM_001330285	51259	Hs.26745	NM_016499	ENSG00000187049	TMEM216	HSPC244	transmembrane protein 216	protein-coding
1-18	chr10	106060589	106060886	+	0	NA	3' UTR (NM_183239, exon 7 of 7)	3' UTR (NM_183239, exon 7 of 7)	-22385	NR_120622	101927472	Hs.670333	NR_120622		ITPRIP-AS1	-	ITPRIP antisense RNA 1	ncRNA
1-2073	chr1	69211311	69211608	+	0	NA	Intergenic	Intergenic	-248694	NM_001114120	55635	Hs.445098	NM_017779	ENSG00000024526	DEPDC1	DEP.8|DEPDC1-V2|DEPDC1A|SDP35	DEP domain containing 1	protein-coding
1-1355	chr10	22898251	22898548	+	0	NA	intron (NM_001330062, intron 2 of 9)	intron (NM_001330062, intron 2 of 9)	104638	NM_001330062	5305	Hs.57079	NM_005028	ENSG00000150867	PIP4K2A	PI5P4KA|PIP5K2A|PIP5KII-alpha|PIP5KIIA|PIPK	phosphatidylinositol-5-phosphate 4-kinase type 2 alpha	protein-coding
1-276	chr22	38639140	38639437	+	0	NA	intron (NM_001195071, intron 3 of 8)	intron (NM_001195071, intron 3 of 8)	-18561	NR_132774	106635525		NR_132774		SNORA92	-	small nucleolar RNA, H/ACA box 92	snoRNA
1-861	chr1	15796423	15796720	+	0	NA	intron (NM_033440, intron 7 of 7)	intron (NM_033440, intron 7 of 7)	-6028	NM_015849	51032	Hs.631871	NM_015849	ENSG00000215704	CELA2B	ELA2B	chymotrypsin like elastase 2B	protein-coding
1-1618	chr2	47285909	47286206	+	0	NA	intron (NM_020458, intron 18 of 19)	intron (NM_020458, intron 18 of 19)	96390	NM_173649	285051	Hs.531575	NM_173649	ENSG00000239605	STPG4	C2orf61|GSE	sperm-tail PG-rich repeat containing 4	protein-coding
1-2711	chr2	232592399	232592696	+	0	NA	Intergenic	L2|LINE|L2	14523	NR_036262	100422885		NR_036262	ENSG00000283498	MIR1244-2	-	microRNA 1244-2	ncRNA
1-1965	chr11	68444899	68445196	+	0	NA	Intergenic	Intergenic	-6965	NM_015973	51083	Hs.278959	NM_015973	ENSG00000069482	GAL	ETL8|GAL-GMAP|GALN|GLNN|GMAP	galanin and GMAP prepropeptide	protein-coding
1-3196	chr8	142444511	142444808	+	0	NA	exon (NM_207414, exon 29 of 30)	exon (NM_207414, exon 29 of 30)	13171	NM_007079	11156	Hs.43666	NM_007079	ENSG00000184489	PTP4A3	PRL-3|PRL-R|PRL3	protein tyrosine phosphatase 4A3	protein-coding
1-533	chr4	78621107	78621404	+	0	NA	Intergenic	Intergenic	118963	NM_001365007	246175	Hs.592519	NM_144571	ENSG00000138767	CNOT6L	CCR4b	CCR4-NOT transcription complex subunit 6 like	protein-coding
1-1820	chr1	45267941	45268238	+	0	NA	intron (NM_004073, intron 5 of 14)	intron (NM_004073, intron 5 of 14)	2040	NM_004073	1263	Hs.632415	NM_004073	ENSG00000173846	PLK3	CNK|FNK|PLK-3|PRK	polo like kinase 3	protein-coding
1-1188	chr6	42812268	42812565	+	0	NA	intron (NM_001318819, intron 7 of 13)	L2c|LINE|L2	23622	NM_015349	23506	Hs.658033	NM_015349	ENSG00000112624	BICRAL	GLTSCR1L|KIAA0240	BRD4 interacting chromatin remodeling complex associated protein like	protein-coding
1-2767	chr5	171991335	171991632	+	0	NA	Intergenic	MIRb|SINE|MIR	-5466	NR_146726	105377728	Hs.131465	NR_146726		LINC01944	CTB-54I1.1	long intergenic non-protein coding RNA 1944	ncRNA
1-3609	chr8	27460875	27461172	+	0	NA	intron (NR_045494, intron 6 of 8)	intron (NR_045494, intron 6 of 8)	7245	NR_106902	102465508		NR_106902	ENSG00000284280	MIR6843	hsa-mir-6843	microRNA 6843	ncRNA
1-50	chr6	49874292	49874589	+	0	NA	Intergenic	Intergenic	-29631	NM_001205220	167	Hs.109620	NM_001131	ENSG00000124812	CRISP1	AEGL1|ARP|CRISP-1|HEL-S-57|HSCRISP1D|HSCRISP1G|HUMARP	cysteine rich secretory protein 1	protein-coding
1-988	chr8	130655845	130656142	+	0	NA	intron (NR_130917, intron 1 of 3)	intron (NR_130917, intron 1 of 3)	36492	NR_130917	137196	Hs.679457	NR_130917	ENSG00000229140	CCDC26	RAM	CCDC26 long non-coding RNA	ncRNA
1-4105	chr7	105305271	105305568	+	0	NA	intron (NM_001318229, intron 3 of 9)	intron (NM_001318229, intron 3 of 9)	14183	NM_001318229	222255	Hs.745056	NM_020725	ENSG00000146776	ATXN7L1	ATXN7L4	ataxin 7 like 1	protein-coding
1-3538	chr4	153016148	153016445	+	0	NA	Intergenic	Intergenic	-5609	NR_121628	100996286	Hs.322462	NR_121627	ENSG00000245954	LINC02273	-	long intergenic non-protein coding RNA 2273	ncRNA
1-2268	chr17	20923354	20923651	+	0	NA	intron (NM_015276, intron 3 of 12)	intron (NM_015276, intron 3 of 12)	22822	NM_015276	23326	Hs.462492	NM_015276	ENSG00000124422	USP22	USP3L	ubiquitin specific peptidase 22	protein-coding
1-1972	chr11	128167329	128167626	+	0	NA	Intergenic	Intergenic	88816	NR_146647	105369564	Hs.591937	NR_146647	ENSG00000272575	LINC02098	-	long intergenic non-protein coding RNA 2098	ncRNA
1-4381	chr19	49842005	49842302	+	0	NA	exon (NM_001774, exon 6 of 8)	exon (NM_001774, exon 6 of 8)	3490	NM_001774	951	Hs.166556	NM_001774	ENSG00000104894	CD37	GP52-40|TSPAN26	CD37 molecule	protein-coding
1-653	chr22	25889415	25889712	+	0	NA	Intergenic	Intergenic	37950	NR_106875	102466198		NR_106875	ENSG00000277872	MIR6817	hsa-mir-6817	microRNA 6817	ncRNA
1-255	chr22	24577458	24577755	+	0	NA	intron (NM_019601, intron 1 of 14)	intron (NM_019601, intron 1 of 14)	151	NM_019601	56241	Hs.131819	NM_019601	ENSG00000099994	SUSD2	BK65A6.2|W5C5	sushi domain containing 2	protein-coding
1-4028	chr5	81682909	81683206	+	0	NA	Intergenic	Intergenic	107776	NM_001017971	92270	Hs.676227	NM_001017971	ENSG00000205464	ATP6AP1L	-	ATPase H+ transporting accessory protein 1 like	protein-coding
1-1712	chr10	120727759	120728056	+	0	NA	Intergenic	Intergenic	-61319	NM_199461	340719	Hs.591918	NM_199461	ENSG00000188613	NANOS1	EC_Rep1a|NOS-1|NOS1|SPGF12|ZC2HC12A	nanos C2HC-type zinc finger 1	protein-coding
1-3692	chr11	115058829	115059126	+	0	NA	intron (NM_001098517, intron 7 of 8)	intron (NM_001098517, intron 7 of 8)	-145319	NR_135108	105369509	Hs.736064	NR_135108		LOC105369509	-	uncharacterized LOC105369509	ncRNA
1-3841	chr22	34463969	34464266	+	0	NA	Intergenic	L2a|LINE|L2	-145241	NM_001362953	9215	Hs.474667	NM_004737	ENSG00000133424	LARGE1	LARGE|MDC1D|MDDGA6|MDDGB6	LARGE xylosyl- and glucuronyltransferase 1	protein-coding
1-4084	chr7	5057981	5058278	+	0	NA	Intergenic	Intergenic	-27362	NM_001204513	100533952		NM_001204513	ENSG00000272968	RBAK-RBAKDN	RBAK|RBAK-LOC389458|ZNF769|hRBaK	RBAK-RBAKDN readthrough	protein-coding
1-4433	chr1	94549161	94549458	+	0	NA	intron (NM_000350, intron 6 of 49)	intron (NM_000350, intron 6 of 49)	37395	NM_000350	24	Hs.416707	NM_000350	ENSG00000198691	ABCA4	ABC10|ABCR|ARMD2|CORD3|FFM|RMP|RP19|STGD|STGD1	ATP binding cassette subfamily A member 4	protein-coding
1-158	chr6	5782935	5783232	+	0	NA	Intergenic	Intergenic	-87578	NR_110842	101927950	Hs.571136	NR_110842	ENSG00000270174	LOC101927950	-	uncharacterized LOC101927950	ncRNA
1-4308	chr16	27331001	27331298	+	0	NA	intron (NM_001257407, intron 1 of 10)	MER1A|DNA|hAT-Charlie	5854	NM_001257406	3566	Hs.513457	NM_000418	ENSG00000077238	IL4R	CD124|IL-4RA|IL4RA	interleukin 4 receptor	protein-coding
1-211	chr9	111034249	111034546	+	0	NA	Intergenic	Intergenic	583869	NM_006686	10880	Hs.534390	NM_006686	ENSG00000148156	ACTL7B	Tact1	actin like 7B	protein-coding
1-200	chr1	230797765	230798062	+	0	NA	intron (NM_007357, intron 3 of 17)	intron (NM_007357, intron 3 of 17)	19686	NM_001145036	22796	Hs.211800	NM_007357	ENSG00000135775	COG2	CDG2Q|LDLC	component of oligomeric golgi complex 2	protein-coding
1-4274	chr14	32824065	32824362	+	0	NA	intron (NM_004274, intron 1 of 13)	intron (NM_004274, intron 1 of 13)	25709	NM_004274	9472	Hs.509083	NM_004274	ENSG00000151320	AKAP6	ADAP100|ADAP6|AKAP100|PRKA6|mAKAP	A-kinase anchoring protein 6	protein-coding
1-2259	chr16	68268065	68268362	+	0	NA	promoter-TSS (NR_106831)	promoter-TSS (NR_106831)	-811	NR_106831	102466194		NR_106831	ENSG00000284259	MIR6773	hsa-mir-6773	microRNA 6773	ncRNA
1-704	chr17	5689800	5690097	+	0	NA	intron (NR_040000, intron 1 of 3)	intron (NR_040000, intron 1 of 3)	14394	NR_040000	339166	Hs.736088	NR_040000	ENSG00000284837	LOC339166	-	uncharacterized LOC339166	ncRNA
1-2302	chr20	20828398	20828695	+	0	NA	Intergenic	Intergenic	-135259	NM_020343	57186	Hs.472285	NM_020343	ENSG00000188559	RALGAPA2	AS250|C20orf74|bA287B20.1|dJ1049G11|dJ1049G11.4|p220	Ral GTPase activating protein catalytic alpha subunit 2	protein-coding
1-3361	chr19	11428386	11428683	+	0	NA	intron (NM_012466, intron 6 of 6)	intron (NM_012466, intron 6 of 6)	21698	NR_104199	26526	Hs.579784	NM_012466	ENSG00000130167	TSPAN16	TM-8|TM4-B|TM4SF16	tetraspanin 16	protein-coding
1-3473	chr2	110018114	110018411	+	0	NA	intron (NM_001099289, intron 4 of 9)	intron (NM_001099289, intron 4 of 9)	-88181	NR_036224	100423027		NR_036224	ENSG00000265965	MIR4266	-	microRNA 4266	ncRNA
1-4526	chr11	94561607	94561904	+	0	NA	intron (NM_130847, intron 4 of 12)	intron (NM_130847, intron 4 of 12)	60233	NM_130847	154810	Hs.503594	NM_130847	ENSG00000166025	AMOTL1	JEAP	angiomotin like 1	protein-coding
1-2200	chr10	105613331	105613628	+	0	NA	intron (NM_014631, intron 1 of 13)	intron (NM_014631, intron 1 of 13)	1685	NM_014631	9644	Hs.678727	NM_014631	ENSG00000107957	SH3PXD2A	FISH|SH3MD1|TKS5	SH3 and PX domains 2A	protein-coding
1-896	chr7	13678987	13679284	+	0	NA	Intergenic	Intergenic	347004	NM_001163152	2115	Hs.22634	NM_004956	ENSG00000006468	ETV1	ER81	ETS variant 1	protein-coding
1-295	chr17	30918105	30918402	+	0	NA	intron (NM_015194, intron 21 of 21)	intron (NM_015194, intron 21 of 21)	104242	NM_003885	8851	Hs.500015	NM_003885	ENSG00000176749	CDK5R1	CDK5P35|CDK5R|NCK5A|p23|p25|p35|p35nck5a	cyclin dependent kinase 5 regulatory subunit 1	protein-coding
1-3334	chr17	36773374	36773671	+	0	NA	Intergenic	Intergenic	-11317	NM_025248	80725	Hs.448872	NM_025248	ENSG00000277363	SRCIN1	P140|SNIP	SRC kinase signaling inhibitor 1	protein-coding
1-1751	chr15	29990565	29990862	+	0	NA	TTS (NM_175610)	TTS (NM_175610)	23574	NR_135221	100130111	Hs.525720	NR_135221	ENSG00000256802	LOC100130111	-	uncharacterized LOC100130111	ncRNA
1-3129	chr5	131391132	131391429	+	0	NA	Intergenic	Intergenic	-5068	NM_000588	3562	Hs.694	NM_000588	ENSG00000164399	IL3	IL-3|MCGF|MULTI-CSF	interleukin 3	protein-coding
1-816	chr6	46816776	46817073	+	0	NA	Intergenic	Intergenic	-54284	NR_110658	101926962	Hs.680113	NR_110658		LOC101926962	-	uncharacterized LOC101926962	ncRNA
1-2416	chr4	109367709	109368006	+	0	NA	Intergenic	Intergenic	-110532	NR_134679	101929621	Hs.679455	NR_134679		LOC101929621	-	uncharacterized LOC101929621	ncRNA
1-1911	chr6	33596416	33596713	+	0	NA	intron (NM_002224, intron 1 of 57)	intron (NM_002224, intron 1 of 57)	4958	NR_134628	101929188	Hs.658327	NR_134628		LOC101929188	-	uncharacterized LOC101929188	ncRNA
1-2478	chr8	41773443	41773740	+	0	NA	Intergenic	L2|LINE|L2	-19332	NM_001142446	286	Hs.654438	NM_000037	ENSG00000029534	ANK1	ANK|SPH1|SPH2	ankyrin 1	protein-coding
1-4292	chr15	75660927	75661224	+	0	NA	promoter-TSS (NM_001256496)	promoter-TSS (NM_001256496)	-107	NM_001256495	4123	Hs.26232	NM_006715	ENSG00000140400	MAN2C1	MAN6A8|MANA|MANA1	mannosidase alpha class 2C member 1	protein-coding
1-3931	chr2	136862611	136862908	+	0	NA	Intergenic	Tigger3a|DNA|TcMar-Tigger	11046	NM_001008540	7852	Hs.593413	NM_003467	ENSG00000121966	CXCR4	CD184|D2S201E|FB22|HM89|HSY3RR|LAP-3|LAP3|LCR1|LESTR|NPY3R|NPYR|NPYRL|NPYY3R|WHIM|WHIMS	C-X-C motif chemokine receptor 4	protein-coding
1-4251	chr12	103816943	103817240	+	0	NA	intron (NR_103526, intron 2 of 10)	intron (NR_103526, intron 2 of 10)	72655	NM_198521	374470	Hs.534649	NM_198521	ENSG00000179088	C12orf42	-	chromosome 12 open reading frame 42	protein-coding
1-2553	chr12	131477022	131477319	+	0	NA	intron (NR_131950, intron 1 of 2)	intron (NR_131950, intron 1 of 2)	1351	NR_131950	105755954	Hs.677534	NR_131950		ADGRD1-AS1	LACAT8	ADGRD1 antisense RNA 1	ncRNA
1-4571	chr19	6775081	6775378	+	0	NA	intron (NM_001258206, intron 1 of 25)	intron (NM_001258206, intron 1 of 25)	2510	NM_001258207	7409	Hs.116237	NM_005428	ENSG00000141968	VAV1	VAV	vav guanine nucleotide exchange factor 1	protein-coding
1-2385	chr3	45316467	45316764	+	0	NA	Intergenic	Intergenic	-48836	NM_015444	25907	Hs.740403	NM_015444	ENSG00000249992	TMEM158	BBP|RIS1|p40BBP	transmembrane protein 158 (gene/pseudogene)	protein-coding
1-1434	chr1	18609579	18609876	+	0	NA	intron (NM_032880, intron 2 of 9)	intron (NM_032880, intron 2 of 9)	175435	NM_032880	84966	Hs.212511	NM_032880	ENSG00000117154	IGSF21	-	immunoglobin superfamily member 21	protein-coding
1-2795	chr6	160589092	160589389	+	0	NA	Intergenic	Intergenic	46377	NM_153187	6580	Hs.117367	NM_003057	ENSG00000175003	SLC22A1	HOCT1|OCT1|oct1_cds	solute carrier family 22 member 1	protein-coding
1-1828	chr1	111066866	111067163	+	0	NA	Intergenic	Intergenic	-5217	NM_005549	3744	Hs.248140	NM_005549	ENSG00000143105	KCNA10	Kcn1|Kv1.8	potassium voltage-gated channel subfamily A member 10	protein-coding
